phrase 1	phrase 1 clean	phrase 2	phrase 2 clean	side to be replaced	SST replacement 1	SST replacement 2	SST replacement 3	SST replacement 4
an audacious tour	an audacious tour	of the past	of the past	left	the same magical quality	such a clever adaptation	a serious exploration	a strong message
an audacious tour	an audacious tour	of the past	of the past	right	of life and death	in a changing world	of the generation gap	of college football games
a fair bit	a fair bit	of vampire fun	of vampire fun	left	the occasional bursts	a delicate balance	the dramatic scenes	a snappy screenplay
a fair bit	a fair bit	of vampire fun	of vampire fun	right	of entangled interrelationships and complex morality	of love and destiny	of a sports extravaganza	of sharp writing
the synergistic impulse	the synergistic impulse	that created it	that created it	left	this gentle and affecting melodrama	the spare precision	a compelling dramatic means	the numerous scenes
the synergistic impulse	the synergistic impulse	that created it	that created it	right	that is controlled by neither character	that distinguishes the merely quirky from the surreal	that would make them redeemable	that dwarfs everything else in the film
the great films	the great films	about movie love	about movie love	left	an exhilarating exploration	a moral tale	a very good viewing alternative	a celebrated wonder
the great films	the great films	about movie love	about movie love	right	of love and companionship	of vampire fun	of creative insanity	of a sports extravaganza
the silent screams	the silent screams	of workaday inertia	of workaday inertia	left	just a simple fable	a sly game	a chase flick	a classroom play
the silent screams	the silent screams	of workaday inertia	of workaday inertia	right	of mystery and quietness	of the industry	of a legal indictment	of rural life
the slowest person	the slowest person	in the audience	in the audience	left	a weary journalist	an innocent boy	an oafish idiot	the most undeserving victim
the slowest person	the slowest person	in the audience	in the audience	right	in their movie	of a sports bar	of lowbrow comedy	of the nation
a crash course	a crash course	in movie mythology	in movie mythology	left	an unsettled feeling	a nearly terminal case	all the dramatic weight	some creepy scenes
a crash course	a crash course	in movie mythology	in movie mythology	right	of the bard's tragic play	of time and talent	of personal loss	of human foibles and contradictions
minutely detailed wonders	minutely detailed wonders	of dreamlike ecstasy	of dreamlike ecstasy	left	a worthwhile addition	just the right amount	a uniquely sensual metaphorical dramatization	a multilayered work
minutely detailed wonders	minutely detailed wonders	of dreamlike ecstasy	of dreamlike ecstasy	right	of entangled interrelationships and complex morality	of a genre gem	of creative insanity	of becoming a better person through love
this facetious smirk	this facetious smirk	of a movie	of a movie	left	a cruel story	a cold blanket	a barely adequate babysitter	a catastrophic collision
this facetious smirk	this facetious smirk	of a movie	of a movie	right	of the directing world	of the medium	of average people	of the camera
an unlimited amount	an unlimited amount	of phony blood	of phony blood	left	the personal touch	a snappy screenplay	a hefty helping	the intelligence level
an unlimited amount	an unlimited amount	of phony blood	of phony blood	right	of preaching to the converted	of awkward emotions	of terrible events	of urban desperation
the personal touch	the personal touch	of manual animation	of manual animation	left	a fair bit	the movie's power	one's imagination	this gentle and affecting melodrama
the personal touch	the personal touch	of manual animation	of manual animation	right	of present day testimonials	of a sequel	of the directing world	of the play
the dream world	the dream world	of teen life	of teen life	left	this gentle and affecting melodrama	a bumpy but satisfying journey	a snappy screenplay	the thriller side
the dream world	the dream world	of teen life	of teen life	right	of magic and mischief	with intellectual underpinnings	of beach party pop numbers	of the character he plays
The origin story	the origin story	is well told	is well told	left	the performance of the young player	the comic possibility	the burgeoning genre	the complicated history
The origin story	the origin story	is well told	is well told	right	makes the old story seem new	is genial and decent	is lovely and lovable	is rich in emotional texture
a soulless hunk	a soulless hunk	of exploitative garbage	of exploitative garbage	left	the annoying demeanour	the most severe kind	a major problem	a different and emotionally reserved type
a soulless hunk	a soulless hunk	of exploitative garbage	of exploitative garbage	right	of inexcusable dumb innocence	of hollow despair	of emotional blandness	of the worst possibilities of mankind
a serious exploration	a serious exploration	of nuclear terrorism	of nuclear terrorism	left	a wonderful tale	a cinematic postcard	an original idea	a wild ride
a serious exploration	a serious exploration	of nuclear terrorism	of nuclear terrorism	right	of music videos	of this slapstick comedy	of an unlikely friendship	of rural life
The sword fighting	the sword fighting	is well done	is well done	left	a children's film	the entire exercise	the television series	this film's cast
The sword fighting	the sword fighting	is well done	is well done	right	is the cat's meow	is gorgeous and finely detailed	is top notch	is quite admirable
some freakish powers	some freakish powers	of visual charm	of visual charm	left	a whole segment	a fair amount	the overall feel	all the outward elements
some freakish powers	some freakish powers	of visual charm	of visual charm	right	of sharp writing	of love and companionship	of spare dialogue and acute expressiveness	of entangled interrelationships and complex morality
The real charm	the real charm	of this trifle	of this trifle	left	a strong dramatic and emotional pull	a pretty convincing performance	all the excitement	the cozy feeling
The real charm	the real charm	of this trifle	of this trifle	right	of rural life	of a deeply personal subject	of pop+AC0-music history	of modern moviemaking
the sheer beauty	the sheer beauty	of his images	of his images	left	an odd but ultimately satisfying blend	the humor and humanity	a uniquely sensual metaphorical dramatization	a longtime admirer
the sheer beauty	the sheer beauty	of his images	of his images	right	of teen life	of this film	of dealing with the subject	of modern moviemaking
a fresh take	a fresh take	is always possible	is always possible	left	a friendly kick	an original treatment	the dream world	the utter authority
a fresh take	a fresh take	is always possible	is always possible	right	brings them to life	portraying a complex character	makes it strangely magnetic	may pick up new admirers
a visual treat	a visual treat	for all audiences	for all audiences	left	an irresistible blend	a great subject	a grand picture	some delightful work
a visual treat	a visual treat	for all audiences	for all audiences	right	for her husband	between a father and son	for silly summer entertainment	of a particular theatrical family
the full brunt	the full brunt	of the comedy	of the comedy	left	the story and theme	the ultimate mysteries	the overall feeling	the intricate preciseness
the full brunt	the full brunt	of the comedy	of the comedy	right	of the girls' environment	of a happy ending	of the script	of a sudden lunch rush at the diner
the invisible hand	the invisible hand	of the marketplace	of the marketplace	left	the delicate tightrope	the life experiences	the tone and pacing	an action movie
the invisible hand	the invisible hand	of the marketplace	of the marketplace	right	of this movie	of a clever gimmick	of its lurid fiction	of the band
introverted young men	introverted young men	with fantasy fetishes	with fantasy fetishes	left	the pilot episode	sailors and folks	an emotional response	the dramatic conviction
introverted young men	introverted young men	with fantasy fetishes	with fantasy fetishes	right	behind the camera	in the history of our country	of the industry	of her book
its target audience	its target audience	of urban kids	of urban kids	left	a certain kind	high school social groups	the pilot episode	a chase flick
its target audience	its target audience	of urban kids	of urban kids	right	of popular culture	at the cinema	of real life	of average people
The young stars	the young stars	are too cute	are too cute	left	the noble characters	the very people	all the classic dramas	the occasional bursts
The young stars	the young stars	are too cute	are too cute	right	will have luvvies in raptures	find a few chuckles	rediscover their passion in life	would be a welcome improvement
This seductive tease	this seductive tease	of a thriller	of a thriller	left	a rousing treatise	a haunting dramatization	a love letter	a therapeutic zap
This seductive tease	this seductive tease	of a thriller	of a thriller	right	of a sports bar	of this ancient holistic healing system	for the general public	of life and death
some difficult relationships	some difficult relationships	in the present	in the present	left	another regurgitated action movie	a pale imitation	the annoying demeanour	a sad picture
some difficult relationships	some difficult relationships	in the present	in the present	right	at the movie's heart	of intelligence and wit	of dramatic interest	of love and humility
all the earmarks	all the earmarks	of a sequel	of a sequel	left	the ups and downs	the movie or the discussion	the symbiotic relationship	the volatile dynamics
all the earmarks	all the earmarks	of a sequel	of a sequel	right	of an era	of modern moviemaking	of stock footage	of popular culture
a sudsy tub	a sudsy tub	of supernatural hokum	of supernatural hokum	left	a cinematic year	the film's messages	an artificial creation	a lunar mission
a sudsy tub	a sudsy tub	of supernatural hokum	of supernatural hokum	right	of female angst	of a sports bar	of a legal indictment	of stock footage
a growing strain	a growing strain	of daring films	of daring films	left	the harsh reality	the real horror	the final product	an unsettled feeling
a growing strain	a growing strain	of daring films	of daring films	right	of sports extravaganzas	of entangled interrelationships and complex morality	of the delicate characters	of good vampire tales
a cold blanket	a cold blanket	of urban desperation	of urban desperation	left	a sad picture	a confusing melange	the modern rut	a pale imitation
a cold blanket	a cold blanket	of urban desperation	of urban desperation	right	of phony blood	of the working poor	of deja vu	of shenanigans and slapstick
the occasional bursts	the occasional bursts	of sharp writing	of sharp writing	left	the movie's power	a sobering meditation	the personal touch	the comic heights
the occasional bursts	the occasional bursts	of sharp writing	of sharp writing	right	of entangled interrelationships and complex morality	of spare dialogue and acute expressiveness	of true sophistication	of the familiar masterpiece
the fanatical excess	the fanatical excess	built into it	built into it	left	the mundane horrors	spray cheese and underarm noises	the difficult relationship	the very basic dictums
the fanatical excess	the fanatical excess	built into it	built into it	right	is delivered with a hammer	keeps happening over and over again	hidden in the film's thick shadows	is in the works
the true potential	the true potential	of the medium	of the medium	left	the crazy things	the cumulative effect	the additional storyline	the imagined glory
the true potential	the true potential	of the medium	of the medium	right	of cameras and souls	of manual animation	of the plot	of horror movie
a whole segment	a whole segment	of pop+AC0-music history	of pop+AC0-music history	left	its intended audience	some freakish powers	a marathon runner	the film's hero
a whole segment	a whole segment	of pop+AC0-music history	of pop+AC0-music history	right	of how to develop them	of the combatants	of youth culture	of mystery and quietness
the central performers	the central performers	are experienced actors	are experienced actors	left	young women	young actresses	a few of the characters	so many titans of the industry
the central performers	the central performers	are experienced actors	are experienced actors	right	are top notch	are lush and inventive	won't be disappointed	soar every bit as high
the numerous scenes	the numerous scenes	of gory mayhem	of gory mayhem	left	the thriller side	a serious drama	every emotional device	an original treatment
the numerous scenes	the numerous scenes	of gory mayhem	of gory mayhem	right	of a conflicted soldier	of the crimes	of a ruthless army on the warpath	of consolation candy
the rich promise	the rich promise	of the script	of the script	left	his surprising discovery	the same magical quality	the most surprising thing	a strong message
the rich promise	the rich promise	of the script	of the script	right	of entertainment and education	of humor and technological finish	of satiric fire and emotional turmoil	of human decency
an admirable reconstruction	an admirable reconstruction	of terrible events	of terrible events	left	a moral tale	a good performance	a suspenseful spin	a playful recapitulation
an admirable reconstruction	an admirable reconstruction	of terrible events	of terrible events	right	of the crimes	of excess and exploitation	of a meltdown	of shenanigans and slapstick
the conflicted complexity	the conflicted complexity	of his characters	of his characters	left	the same damn moldy values	the pushiness and decibel volume	the measured pace and lack of dramatic inflection	some of its plaintiveness
the conflicted complexity	the conflicted complexity	of his characters	of his characters	right	of rural life	of modern times	of this slapstick comedy	of human foibles and contradictions
a nagging sense	a nagging sense	of deja vu	of deja vu	left	a major problem	the most severe kind	a confusing melange	an overlong visit
a nagging sense	a nagging sense	of deja vu	of deja vu	right	of dislocation and change	of awkward emotions	of sadness and grief	of isolation and frustration
All the performances	all the performances	are top notch	are top notch	left	all of its ideas	the animation and backdrops	the film's messages	the thematic ironies
All the performances	all the performances	are top notch	are top notch	right	are quite admirable	are genial and decent	are lush and inventive	are gorgeous and finely detailed
a simple diversion	a simple diversion	for the kids	for the kids	left	a serious drama	the psychological thriller	the noble tradition	a throwback war movie
a simple diversion	a simple diversion	for the kids	for the kids	right	for the whole family	of a good time	of the delicate characters	of a good vampire tale
its lackluster gear	its lackluster gear	of emotional blandness	of emotional blandness	left	the very hollowness	the film's almost unbearable portrait	mainstream foreign mush	the downward spiral
its lackluster gear	its lackluster gear	of emotional blandness	of emotional blandness	right	of gun violence	of a script in need of polishing	of inexcusable dumb innocence	of continuity errors
the twist endings	the twist endings	were actually surprising	were actually surprising	left	the psychological thrillers	the romantic urgencies	biting satires	the real stories
the twist endings	the twist endings	were actually surprising	were actually surprising	right	can be fertile sources of humor	aren't badly made	are very original	make it strangely magnetic
its own grasp	its own grasp	of the absurd	of the absurd	left	the film equivalent	the cumulative effect	all the earmarks	a clear case
its own grasp	its own grasp	of the absurd	of the absurd	right	of urban desperation	of sentimental ooze	of consolation candy	of preaching to the converted
the opulent lushness	the opulent lushness	of every scene	of every scene	left	the real star	moments of hilarity	a sometimes interesting remake	the noble characters
the opulent lushness	the opulent lushness	of every scene	of every scene	right	of mystery and quietness	of the narratives	of films about black urban professionals	of its situation
Some motion pictures	some motion pictures	portray ultimate passion	portray ultimate passion	left	the drumming and the marching	the volatile dynamics	the film's messages	the heroes of horror movies
Some motion pictures	some motion pictures	portray ultimate passion	portray ultimate passion	right	are genuinely witty	are all fine	portray a complex character	can be fertile sources of humor
all the charm	all the charm	of a meltdown	of a meltdown	left	an oddly fascinating depiction	a strangely tempting bouquet	the buoyant energy level	the momentary joys
all the charm	all the charm	of a meltdown	of a meltdown	right	of ego and jealousy	of a tax accountant	of a shaggy dog story	of the war
The thriller side	the thriller side	of this movie	of this movie	left	the young stars	the noble tradition	the video game	the nourishing aspects
The thriller side	the thriller side	of this movie	of this movie	right	of middle age	of brotherly conflict and reconciliation	of the comedy	of the script
filmmakers and performers	filmmakers and performers	of this calibre	of this calibre	left	the painted backdrops	so many titans of the industry	sailors and folks	the rest of the cast
filmmakers and performers	filmmakers and performers	of this calibre	of this calibre	right	of entertainment and education	of a particular theatrical family	of gigantic proportions	of romantic innocence and philosophical depth
an unflappable air	an unflappable air	of decadent urbanity	of decadent urbanity	left	the overall feeling	a serious drama	a hallucinatory dreamscape	the universal theme
an unflappable air	an unflappable air	of decadent urbanity	of decadent urbanity	right	of life and death	of lowbrow comedy	of the psychopathic mind	of the respected critical community in this country
the typical problems	the typical problems	of average people	of average people	left	some of its plaintiveness	the basic flaws	the same damn moldy values	a muddled drama
the typical problems	the typical problems	of average people	of average people	right	of people who try to escape the country	of both sides	of gay culture	of the film's past
the robust middle	the robust middle	of this picture	of this picture	left	all the scenic appeal	the richness of characterization	the dutiful precision	the fleeting joys
the robust middle	the robust middle	of this picture	of this picture	right	of the singles scene	of an era	of film experiences	of this disarming indie
the tiny revelations	the tiny revelations	of real life	of real life	left	a fair bit	a seriously intended movie	her inner journey	the twist endings
the tiny revelations	the tiny revelations	of real life	of real life	right	of the film	of holiday movies	of its archival prints and film footage	of the original
a popular destination	a popular destination	for hungry tourists	for hungry tourists	left	a pleasant enough romance	a funny little movie	that extra little something	the fresh air
a popular destination	a popular destination	for hungry tourists	for hungry tourists	right	for the spotlight	for the audience	of people who try to escape the country	of our times
a long patch	a long patch	of black ice	of black ice	left	the inherent conflict	the volatile dynamics	an artificial creation	the cultural and moral issues
a long patch	a long patch	of black ice	of black ice	right	of rural life	of architectural oddities	of an unlikely friendship	of tolerance and diversity
the intelligence level	the intelligence level	of the characters	of the characters	left	a thoughtful and unflinching examination	all the classic dramas	the intellectual and emotional pedigree	this harrowing journey
the intelligence level	the intelligence level	of the characters	of the characters	right	of theater history	of its lurid fiction	of the modern male	of the script
a bizarre sort	a bizarre sort	of romantic comedy	of romantic comedy	left	the measured pace and lack of dramatic inflection	all the same problems	a crusty treatment	the thin soup
a bizarre sort	a bizarre sort	of romantic comedy	of romantic comedy	right	of a raindrop	of pretty and weightless intellectual entertainment	of human power	of moral right and wrong
a compelling slice	a compelling slice	of awkward emotions	of awkward emotions	left	this wonderful portrait	the real charm	a powerful look	a great subject
a compelling slice	a compelling slice	of awkward emotions	of awkward emotions	right	of canned humor	of sentimental ooze	of office politics	of preaching to the converted
The mesmerizing performances	the mesmerizing performances	of the leads	of the leads	left	a wonderous accomplishment	a breathtakingly assured and stylish work	the funniest jokes	the powerful work
The mesmerizing performances	the mesmerizing performances	of the leads	of the leads	right	of its subjects	of men in drag	of an unlikely friendship	of modern moviemaking
the belly laughs	the belly laughs	of lowbrow comedy	of lowbrow comedy	left	the physically spectacular qualities	a real flair	an engaging look	the wisdom and humor
the belly laughs	the belly laughs	of lowbrow comedy	of lowbrow comedy	right	of this trifle	for this genre	of nuclear terrorism	of serial killers
The real star	the real star	of this movie	of this movie	left	a big part	the twist endings	the inner rhythms	an old friend
The real star	the real star	of this movie	of this movie	right	of most contemporary comedies	of the better film versions	of the marketplace	of pretty and weightless intellectual entertainment
The isolated moments	the isolated moments	of creative insanity	of creative insanity	left	all the comic possibilities	the mere suggestion	its surreal sense	the unexpected blast
The isolated moments	the isolated moments	of creative insanity	of creative insanity	right	of love and destiny	of sensual delights and simmering violence	of considerable force and truth	of true sophistication
a striking style	a striking style	behind the camera	behind the camera	left	the visceral excitement	a fairly irresistible package	this distinguished actor	a freshness and modesty
a striking style	a striking style	behind the camera	behind the camera	right	with fantasy fetishes	in his medium	of architectural oddities	of this disarming indie
a rousing treatise	a rousing treatise	of sensual empowerment	of sensual empowerment	left	a haunting dramatization	the synergistic impulse	the dream world	the romantic urgency
a rousing treatise	a rousing treatise	of sensual empowerment	of sensual empowerment	right	of this calibre	of a particular theatrical family	of romantic comedy	of the struggling artiste
the fresh air	the fresh air	of true sophistication	of true sophistication	left	its compassionate spirit	this engaging mix	a fanciful film	a strangely tempting bouquet
the fresh air	the fresh air	of true sophistication	of true sophistication	right	of love and companionship	of the delicate characters	of an alternative lifestyle	of its provocative conclusion
a daily grind	a daily grind	can kill love	can kill love	left	the mundane horrors	this stuck pig	the choking sense	the sick character
a daily grind	a daily grind	can kill love	can kill love	right	can be found a tough beauty	is supposed to be a gift	makes you nervous	should get a pink slip
the frightening seductiveness	the frightening seductiveness	of new technology	of new technology	left	this future world	some freakish powers	the multiple stories	the primitive force
the frightening seductiveness	the frightening seductiveness	of new technology	of new technology	right	of his characters	of the camera	of these performers and their era	of serial killers
your favorite pet	your favorite pet	get buried alive	get buried alive	left	high school social groups	the silent screams	the author's devotees	the fanatical adherents
your favorite pet	your favorite pet	get buried alive	get buried alive	right	undergoing midlife crisis	might blow it off the screen	is in the title	doesn't just slip
the familiar topic	the familiar topic	of office politics	of office politics	left	a series of beginnings and middles	a small star	the universal theme	a sleek advert
the familiar topic	the familiar topic	of office politics	of office politics	right	of urban desperation	of excess and exploitation	of sentimental ooze	of a shaggy dog story
all the moments	all the moments	of coherent dialogue	of coherent dialogue	left	a good chunk	the multiple stories	the cinematic equivalent	the heavy doses
all the moments	all the moments	of coherent dialogue	of coherent dialogue	right	of satiric fire and emotional turmoil	of sensual empowerment	of love and jealousy and sacrifice	of the haunted vessel
an absolute delight	an absolute delight	for all audiences	for all audiences	left	a wonderous accomplishment	a superb performance	a very good time	a breathtakingly assured and stylish work
an absolute delight	an absolute delight	for all audiences	for all audiences	right	on the film radar	of intelligence and wit	for a teen movie	of charisma and menace
a therapeutic zap	a therapeutic zap	of shock treatment	of shock treatment	left	all the mounting tension	a syncopated style	a hallucinatory dreamscape	every emotional device
a therapeutic zap	a therapeutic zap	of shock treatment	of shock treatment	right	of workaday inertia	of belly dancing	of present day testimonials	of average people
the choking sense	the choking sense	of hollow despair	of hollow despair	left	the mundane horrors	an unsettled feeling	the darker elements	the film's few ideas
the choking sense	the choking sense	of hollow despair	of hollow despair	right	of inexcusable dumb innocence	of the worst possibilities of mankind	of gun violence	of grief and loss
its noticeable lack	its noticeable lack	of emotional heft	of emotional heft	left	every conceivable mistake	a dark pit	an incredibly irritating comedy	the worst elements
its noticeable lack	its noticeable lack	of emotional heft	of emotional heft	right	of what makes a joke a joke	of female angst	of character and mood	of music videos
junk food cinema	junk food cinema	at its greasiest	at its greasiest	left	a confusing sudden finale	a sour taste	a bad movie	an inexpressible and drab wannabe
junk food cinema	junk food cinema	at its greasiest	at its greasiest	right	about thoroughly vacuous people	of terrible events	of the absurd	of sentimental ooze
the obligatory moments	the obligatory moments	of sentimental ooze	of sentimental ooze	left	an emotional response	all the earmarks	a forcefully quirky tone	a tart little lemon drop
the obligatory moments	the obligatory moments	of sentimental ooze	of sentimental ooze	right	of canned humor	of terrible events	of arrested development	of the working poor
the cinematic equivalent	the cinematic equivalent	of tabloid journalism	of tabloid journalism	left	a long patch	the very definition	even a trace	the volatile dynamics
the cinematic equivalent	the cinematic equivalent	of tabloid journalism	of tabloid journalism	right	of a conflicted soldier	of excess and exploitation	of a meltdown	of shenanigans and slapstick
The primitive force	the primitive force	of this film	of this film	left	the possible futures	the moral dilemma	the ambiguous ending	this novelistic story
The primitive force	the primitive force	of this film	of this film	right	of urban kids	of youth culture	in contemporary society	of the film's city beginnings
the great minds	the great minds	of our times	of our times	left	the sheer beauty	a serious exploration	the most famous author	a cinematic postcard
the great minds	the great minds	of our times	of our times	right	of modern moviemaking	of our national psyche	of people who try to escape the country	of the play
the videogame series	the videogame series	that inspired it	that inspired it	left	a marching band	the complicated relationships	the projection television screen	the emotional arc
the videogame series	the videogame series	that inspired it	that inspired it	right	that resonates with profundity	that isn't entirely infantile	that entertains even as it turns maddeningly predictable	which knows its way around a submarine
a major problem	a major problem	in contemporary society	in contemporary society	left	some difficult relationships	the road to hell	this strenuously unconventional movie	the very hollowness of the character he plays
a major problem	a major problem	in contemporary society	in contemporary society	right	of emotional heft	of new technology	in the woods	in the history of our country
a visceral level	a visceral level	that transcends language	that transcends language	left	the synergistic impulse	this holiday movie	this gentle and affecting melodrama	a sobering meditation
a visceral level	a visceral level	that transcends language	that transcends language	right	that earns its moments of pathos	that is presented with universal appeal	that inspired it	the majority of action comedies have
the overall impact	the overall impact	of the film	of the film	left	the casting call	the comic elements	the most notable observation	the overall feel
the overall impact	the overall impact	of the film	of the film	right	of the respected critical community in this country	of nuclear terrorism	of your date	of his characters
a big box	a big box	of consolation candy	of consolation candy	left	the very concept	the life experiences	a certain degree	the tiniest segment
a big box	a big box	of consolation candy	of consolation candy	right	of awkward emotions	of sentimental ooze	of melodramatic moviemaking	of sadness and grief
the basic flaws	the basic flaws	in his vision	in his vision	left	all the same problems	the slightest difficulty	the real horror	the slow buildup
the basic flaws	the basic flaws	in his vision	in his vision	right	in this film	of his characters	of human foibles and contradictions	of the psychopathic mind
the powerful work	the powerful work	of his co+AC0-stars	of his co+AC0-stars	left	a wonderous accomplishment	a superb performance	scenes of cinematic perfection	the funniest jokes
the powerful work	the powerful work	of his co+AC0-stars	of his co+AC0-stars	right	of sentimental ooze	of isolation and frustration	of the war	of ego and jealousy
a fascinating part	a fascinating part	of theater history	of theater history	left	the same magical quality	a multilayered work	easily accessible stories	a cinematic postcard
a fascinating part	a fascinating part	of theater history	of theater history	right	of the movies	of a happy ending	of a couple's moral ascension	of satiric fire and emotional turmoil
a pressure cooker	a pressure cooker	of horrified awe	of horrified awe	left	the crazy things	the videogame series	a literary detective story	a questionable kind
a pressure cooker	a pressure cooker	of horrified awe	of horrified awe	right	of popular culture	of teen life	of characters and angles	of a movie
an underlying order	an underlying order	throughout the chaos	throughout the chaos	left	the richness of characterization	the comic heights	disparate funny moments	the ultimate mysteries
an underlying order	an underlying order	throughout the chaos	throughout the chaos	right	in a world that thrives on artificiality	of sentimental ooze	in an admittedly middling film	in the genre
a love song	a love song	to the movies	to the movies	left	an honesty and dignity	a few advantages	the twist endings	a workable primer
a love song	a love song	to the movies	to the movies	right	for the original	of his characters	of rural life	of modern times
her inner journey	her inner journey	is largely unexplored	is largely unexplored	left	all the mounting tension	a big part	this harrowing journey	the ultimate mystery
her inner journey	her inner journey	is largely unexplored	is largely unexplored	right	doesn't make up for a weak movie	may be shallow	doesn't quite fit	can also seem tedious
the emotional realities	the emotional realities	of middle age	of middle age	left	every emotional device	the real star	a plucky heroine	the unerring professionalism
the emotional realities	the emotional realities	of middle age	of middle age	right	of intelligence and wit	of comedy and romance	of the girls' environment	of love and bloodletting
a great subject	a great subject	for a movie	for a movie	left	beautifully detailed performances	a soothing formula	a very good viewing alternative	a true adaptation
a great subject	a great subject	for a movie	for a movie	right	at its center	of our times	of the play	of the film
the cinematic equivalent	the cinematic equivalent	of high humidity	of high humidity	left	all the comic possibilities	the tone and pacing	just a simple fable	an artificial creation
the cinematic equivalent	the cinematic equivalent	of high humidity	of high humidity	right	of the real deal	of a very lively dream	of female friendship	of middle age
the thin soup	the thin soup	of canned humor	of canned humor	left	the central flaw	the most offensive thing	this prickly indie comedy	a besotted and obvious drama
the thin soup	the thin soup	of canned humor	of canned humor	right	of its chilly predecessor	of sadness and grief	of the working poor	of an action film
her typical blend	her typical blend	of unsettling atmospherics	of unsettling atmospherics	left	any real psychological grounding	an almost visceral sense	the whole damned thing	the additional storyline
her typical blend	her typical blend	of unsettling atmospherics	of unsettling atmospherics	right	of melodramatic moviemaking	of ego and jealousy	of shenanigans and slapstick	of awkward emotions
Murder and mayhem	murder and mayhem	of this sort	of this sort	left	any intellectual arguments	the unexpected blast	the visuals and eccentricities	a dualistic battle
Murder and mayhem	murder and mayhem	of this sort	of this sort	right	of the past	of our times	of modern moviemaking	of real life
the acerbic repartee	the acerbic repartee	of the play	of the play	left	a prolific director	the intelligence level	an original treatment	the twist endings
the acerbic repartee	the acerbic repartee	of the play	of the play	right	of this sort	for young women	of present day testimonials	of modern moviemaking
a celebrated wonder	a celebrated wonder	in the spotlight	in the spotlight	left	a genuinely honest moment	this wonderful portrait	the funniest thing	a very original artist
a celebrated wonder	a celebrated wonder	in the spotlight	in the spotlight	right	of an unlikely friendship	of pop+AC0-music history	of the nation	in a college history course
a true adaptation	a true adaptation	of her book	of her book	left	the extravagant confidence	a playful recapitulation	the humor and intelligence	the wit and revolutionary spirit
a true adaptation	a true adaptation	of her book	of her book	right	of modern moviemaking	of this slapstick comedy	of this true story	of youth culture
The cumulative effect	the cumulative effect	of the movie	of the movie	left	a dualistic battle	the cultural and moral issues	murder and mayhem	the tiniest segment
The cumulative effect	the cumulative effect	of the movie	of the movie	right	of his characters	of film experiences	of redemption and regeneration	of the cutes
an opera movie	an opera movie	for the buffs	for the buffs	left	the television series	the addition of a biblical message	a plot twist	the comic elements
an opera movie	an opera movie	for the buffs	for the buffs	right	for silly summer entertainment	for her husband	between fantasy and reality	in the truest sense
the exotic world	the exotic world	of belly dancing	of belly dancing	left	a great glimpse	a wonderful tale	a spiritual aspect	the momentary joys
the exotic world	the exotic world	of belly dancing	of belly dancing	right	of architectural oddities	of teen life	of mystery and quietness	of men in drag
a grand picture	a grand picture	of an era	of an era	left	a celebrated wonder	an enjoyable film	the modern master	a visual treat
a grand picture	a grand picture	of an era	of an era	right	of the respected critical community in this country	of a man's body	for this genre	of growing up
a fudged opportunity	a fudged opportunity	of gigantic proportions	of gigantic proportions	left	junk food cinema	its nauseating spinning credits sequence	every conceivable mistake	the worst movie
a fudged opportunity	a fudged opportunity	of gigantic proportions	of gigantic proportions	right	of love's brief moment	of pretty and weightless intellectual entertainment	of sensual empowerment	of entertainment and education
the ultimate fate	the ultimate fate	of these girls	of these girls	left	the mere suggestion	the additional storyline	any intellectual arguments	all the comic possibilities
the ultimate fate	the ultimate fate	of these girls	of these girls	right	of love and bloodletting	of the criminal world	of the script	of the modern male
the expressive power	the expressive power	of the camera	of the camera	left	real visual charge	a rounded and revealing overview	a decent glimpse	the fierce grandeur
the expressive power	the expressive power	of the camera	of the camera	right	of some delicate subject matter	of human foibles and contradictions	of magic and mischief	of eating oatmeal
The emotional overload	the emotional overload	of female angst	of female angst	left	the choking sense	the hollow state	the conflicted complexity	all the dramatic weight
The emotional overload	the emotional overload	of female angst	of female angst	right	of an unlikely friendship	of a thriller	of the singles scene	of explosions and violence
the ongoing +AC0- and unprecedented +AC0- construction project	the ongoing +AC0- and unprecedented +AC0- construction project	going on over our heads	going on over our heads	left	the usual portrayals	an action film	a ghost story	the thematic ironies
the ongoing +AC0- and unprecedented +AC0- construction project	the ongoing +AC0- and unprecedented +AC0- construction project	going on over our heads	going on over our heads	right	is delivered with a hammer	lends the film a resonant undertone of tragedy	can justify evil means	centering on food
all the religious and civic virtues	all the religious and civic virtues	that hold society in place	that hold society in place	left	the invisible hands	all the moments	the characters' moves	the movie or the discussion
all the religious and civic virtues	all the religious and civic virtues	that hold society in place	that hold society in place	right	that tend to characterize puberty	that would make them redeemable	that are at the center of the story	with which he expresses our most basic emotions
the actresses in the lead roles	the actresses in the lead roles	are all more than competent	are all more than competent	left	so many titans of the industry	dinner guests	sailors and folks	alienated executives
the actresses in the lead roles	the actresses in the lead roles	are all more than competent	are all more than competent	right	shouldn't have gone straight to video	are all fine	should inspire reaction in its audience	may look cool
a children 's film	a children's film	in the truest sense	in the truest sense	left	the comic elements	lack of a pyschological center	the emotional arc	a morbid appeal
a children 's film	a children's film	in the truest sense	in the truest sense	right	of moral right and wrong	with a twisted sense of humor	in the auditorium	of entertainment and education
the insight and honesty	the insight and honesty	of this disarming indie	of this disarming indie	left	the visceral excitement	the fresh air	a carefully balanced scenario	the rich promise
